ID,day,customer,waitingtime,line,drinks,cost,number
20004,4,man,60,아이스 아메리카노 10잔 가능할까요? 저희 동아리 회식이 있어서요,americano,150000,10
20009,9,oldman,40,시원한 커피 줘. 한 잔!,americano,3000,2
20010,10,kids,30,아메리카노. 쪼코로 바꿔주세요,abnormal_americano,1500,1
20014,14,women,40,"커피, 딸기, 아이스크림을 넣은 밀크 쉐이크 부탁드립니다.",abnormal_milk_shake,3000,1
20015,15,man,60,카페 라떼 10잔 주세요. 저희 동아리 회식이 있어서 되도록 빨리 부탁합니다.,caffelatte,20000,10
20020,20,oldman,40,허니 밀크인지 뭔지 하나 줘 봐.,honey_milk,5000,2
20022,22,kids,30,아포가토. 쪼코로 바꿔주세요. 바닐라 시럽두 넣어서요!,abnormal_affogato,3000,1
20023,23,women,40,"딸기,  파인애플, 우유, 아이스크림 넣은 애플 에이드 한 잔이요~",abnormal_apple_ade,2000,1
20024,24,man,60,안녕하세요? 저는 커피 동호회 회원인데요. 에스프레소 15잔 부탁드립니다. ,espresso,22500,15
20026,26,oldman,40,체리 에이든지 뭐시긴지 줘 봐. ,cherry_ade,4000,2
20027,27,kids,30,커피 프라페 쪼꼬로 바꿔주세요!,abnormal_coffee_frappe,3000,1
20028,28,women,40,레몬 크림 사워를 우유랑 파인애플만 넣어서 만들어주실 수 있죠?,abnormal_lemoncreamsour,3000,1
20030,30,man,60,안녕하세요? 저는 밀크 초코 동호회 회장인데요. 밀크 초코 15잔 부탁드립니다.,milk_choco,30000,15
20033,33,oldman,40,딸기 주스 하나가 뭐 이리 비싸?,strawberry_ade,4000,2
20035,35,women,40,딸기 주스 주문할 건데요. 레몬이랑 소다랑 아이스크림이랑 파인애플 넣어서 만들어 주세요. 딸기는 빼주세요!,abnormal_strawberry_juice,2000,1
20036,36,women,40,아메리카노를에 초콜렛이랑 물만 넣어서 만들어 주세요. 절대로 샷 넣으시면 안돼요,abnormal_americano,1500,1
20037,37,man,60,저는 오렌지 동호회 회장입니다! 저희 회원들을 위해 오렌지 에이드 15잔을 만들어 주세요,orange_ade,30000,15
20040,40,oldman,40,오렌지 에이드 시원한 걸로 줘!,ice_orange_ade,5000,2
20042,42,women,40,"아이스크림 라떼 주세요. 오렌지, 아이스크림, 꿀, 파인애플 넣어서요. 다른 건 들어가면 안되고요!",abnormal_icecream_latte,3500,1
20044,44,man,60,저는 <아침 좋아> 동호회 회장인데요. 아침 주스 10잔으로 저희 회원들의 아침을 든든히 만들어 주세요.,morning_fruits,20000,10
20045,45,man,60,저는 <벚꽃 좋아> 동아리 회원입니다. 회장 선거에서 제가 이길 수 있도록 체리블러썸 10잔을 부탁드려요.,cherry_blossom,35000,10
20047,47,oldman,40,포도 딸기 주슨가 뭔가 하나 줘. 빨리 줘야 돼. 영감들이랑 약속 있으니까.,grape_strawberry_juice,5000,2
20049,49,women,40,"포도 에이드 있죠? 사과, 물, 파인애플, 얼음만 넣고 만들어주세요. ",abnormal_grape_ade,2000,1
20060,60,man,60,저는 <아이셔잉> 동아리 회장입니다. 레몬 티 10잔 주세요!,lemon_tea,20000,10
20052,52,oldman,40,딸기 프라페는 뭔 음료여?,strawberry_frappe,4000,2
20054,54,women,40,"허니 밀크 라떼 주세요. 체리, 파인애플, 소다, 아이스크림 넣어서요.",abnormal_honey_milk_latte,3000,1
20055,55,man,60,저는 <사과 좋아> 동아리와 <소다 좋아> 동아리 회장을 겸직하고 있는데요. 두 동아리 회원을 모두 만족시킬 수 있는 애플 소다 15잔 부탁드려요!,apple_soda,52500,15
20057,57,oldman,40,체리 베리 뭐시긴가 따뜻하게 줘.,cherry_berry_ade,6000,2
20059,59,women,40,"애플 티 주세요. 바나나, 우유, 커피, 사과 넣어서요.",abnormal_apple_tea,2000,1
20058,58,man,60,신 것으로 가득찬 세상은 정말 아름답지 않나요? 사우어 파라다이스 10잔을 만들어주세요.,sour_paradise,40000,10
