day,name,,ingredientlist1,ingredientlist2,ingredientlist3,ingredientlist4
1,espresso,,coffee,,,
1,ice_espresso,,coffee,ice,,
1,americano,,coffee,water,,
1,ice_americano,,coffee,water,ice,
2,caffelatte,,coffee,milk,,
2,ice_caffelatte,,coffee,milk,ice,
3,sweet_americano,,coffee,water,syrup,
3,sweet_ice_americano,,coffee,water,syrup,ice
3,sweet_caffelatte,,coffee,milk,syrup,
3,sweet_ice_caffelatte,,coffee,milk,syrup,ice
4,hazelnut_americano,,coffee,water,h_syrup,
4,ice_hazelnut_americano,,coffee,water,h_syrup,ice
4,vanilla_latte,,coffee,milk,v_syrup,
4,ice_vanila_latte,,coffee,milk,v_syrup,ice
6,milk_choco,,chocolate,milk,,
6,ice_milk_chocho,,chocolate,milk,ice,
7,choco_latte,,chocolate,milk,coffee,
7,ice_choco_latte,,chocolate,milk,coffee,ice
8,affogato,,coffee,icecream,,
8,icecream_latte,,coffee,milk,icecream,
9,milk_shake,,milk,icecream,,
11,banana_milk,,banana,milk,,
12,banana_milk_latte,,banana,milk,coffee,
12,ice_banana_milk_latte,,banana,milk,coffee,ice
13,banana_shake,,banana,milk,icecream,
14,morning_juice,,banana,apple,water,
14,ice_morning_juice,,banana,apple,water,ice
16,apple_shake,,apple,milk,icecream,
17,honey_americano,,coffee,water,honey,
17,ice_honey_americano,,coffee,water,honey,ice
18,honey_milk,,honey,milk,,
18,ice_honey_milk,,honey,milk,ice,
19,honey_banana_shake,,banana,milk,icecream,honey
21,apple_ade,,apple,soda,,
21,ice_apple_ade,,apple,soda,ice,
22,caramel macchiato,,coffee,milk,syrup,ice
23,lemon_ade,,lemon,soda,,
23,ice_lemon_ade,,lemon,soda,ice,
24,lemon_creamsour,,lemon,soda,icecream,
26,cherry_ade,,cherry,soda,,
26,ice_cherry_ade,,cherry,soda,ice,
27,sour_ade,,cherry,soda,lemon,
28,coffee_frappe,,coffee,water,icecream,ice
29,apple_frappe,,apple,water,icecream,ice
31,strawberry_banana_shake,,strawberry,banana,milk,icecream
32,strawberry_ade,,strawberry,soda,,
32,ice_strawberry_ade,,strawberry,soda,ice,
33,strawberry_juice,,strawberry,water,honey,
33,ice_strawberry_juice,,strawberry,water,honey,ice
34,sweets_latte,,strawberry,banana,chocolate,milk
36,orange_juice,,orange,water,honey,
36,ice_orange_juice,,orange,water,honey,ice
37,strawberry_milk,,strawberry,milk,,
38,orange_ade,,orange,soda,,
38,ice_orange_ade,,orange,soda,ice,
39,summer_juice,,orange,lemon,water,ice
